Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R
Ms,,,,,,,,,,,,,,,,,
14010.4421,,26620.88,2130.908075,0,0,26614.12,2359.327407,0,0,26769.6,2730.780303,0,0,26843.96,1987.747671,0,0
14020.4496,,26620.88,2155.020823,0,0,26614.12,2393.11303,0,0,26769.6,2773.408081,0,0,26843.96,2007.109041,0,0
14030.457,,26620.88,2181.506602,0,0,26614.12,2427.133858,0,0,26769.6,2808.624747,0,0,26843.96,2024.367162,0,0
14040.4645,,26620.88,2194.232859,0,0,26614.12,2446.588773,0,0,26769.6,2829.261111,0,0,26843.96,2037.299421,0,0
14050.4719,,26620.88,2209.53098,0,0,26614.12,2465.846584,0,0,26769.6,2848.483838,0,0,26843.96,2041.671367,0,0
14060.4794,,26620.88,2212.228796,0,0,26614.12,2476.915672,0,0,26769.6,2860.460354,0,0,26843.96,2048.396374,0,0
14070.4869,,26620.88,2219.488065,0,0,26614.12,2485.823978,0,0,26769.6,2868.880556,0,0,26843.96,2049.478217,0,0
14080.4943,,26620.88,2214.788471,0,0,26614.12,2489.639065,0,0,26769.6,2868.570707,0,0,26843.96,2048.332158,0,0
14090.5018,,26620.88,2218.722194,0,0,26614.12,2489.923546,0,0,26769.6,2867.125505,0,0,26843.96,2045.349282,0,0
14100.5092,,26620.88,2211.143982,0,0,26614.12,2483.798578,0,0,26769.6,2855.876263,0,0,26843.96,2037.909595,0,0
14110.5167,,26620.88,2204.077958,0,0,26614.12,2475.293625,0,0,26769.6,2848.24697,0,0,26843.96,2027.870058,0,0
14120.5242,,26620.88,2192.099035,0,0,26614.12,2464.883414,0,0,26769.6,2828.728788,0,0,26843.96,2019.059683,0,0
14130.5316,,26620.88,2182.152869,0,0,26614.12,2450.383033,0,0,26769.6,2816.676515,0,0,26843.96,2009.038278,0,0
14140.5391,,26620.88,2166.592433,0,0,26614.12,2437.230632,0,0,26769.6,2790.505051,0,0,26843.96,1994.683455,0,0
14150.5465,,26620.88,2155.22321,0,0,26614.12,2419.297943,0,0,26769.6,2775.193687,0,0,26843.96,1979.817175,0,0
14160.554,,26620.88,2134.982732,0,0,26614.12,2402.635255,0,0,26769.6,2742.49798,0,0,26843.96,1966.236464,0,0
14170.5615,,26620.88,2119.126968,0,0,26614.12,2381.588265,0,0,26769.6,2726.882828,0,0,26843.96,1948.067237,0,0
14180.5689,,26620.88,2098.281361,0,0,26614.12,2357.995428,0,0,26769.6,2692.976263,0,0,26843.96,1931.991438,0,0
14190.5764,,26620.88,2082.727781,0,0,26614.12,2335.19685,0,0,26769.6,2668.114141,0,0,26843.96,1914.323344,0,0
14200.5838,,26620.88,2062.990096,0,0,26614.12,2312.298197,0,0,26769.6,2634.287626,0,0,26843.96,1896.986905,0,0
14210.5913,,26620.88,2040.770442,0,0,26614.12,2284.805182,0,0,26769.6,2608.47601,0,0,26843.96,1877.295392,0,0
14220.5987,,26620.88,2020.578466,0,0,26614.12,2260.641859,0,0,26769.6,2571.127525,0,0,26843.96,1860.093427,0,0
14230.6062,,26620.88,1999.310056,0,0,26614.12,2232.952248,0,0,26769.6,2545.131061,0,0,26843.96,1838.786452,0,0
14240.6137,,26620.88,1977.108431,0,0,26614.12,2209.526797,0,0,26769.6,2507.110101,0,0,26843.96,1821.842861,0,0
14250.6211,,26620.88,1957.656932,0,0,26614.12,2182.257811,0,0,26769.6,2480.399747,0,0,26843.96,1801.720473,0,0
14260.6286,,26620.88,1936.461656,0,0,26614.12,2156.489459,0,0,26769.6,2442.862374,0,0,26843.96,1784.153614,0,0
14270.636,,26620.88,1915.277298,0,0,26614.12,2124.302261,0,0,26769.6,2414.915152,0,0,26843.96,1759.958197,0,0
14280.6435,,26620.88,1892.621635,0,0,26614.12,2101.289053,0,0,26769.6,2377.959596,0,0,26843.96,1744.461345,0,0
14290.651,,26620.88,1870.332402,0,0,26614.12,2071.547117,0,0,26769.6,2346.120202,0,0,26843.96,1720.60967,0,0
14300.6584,,26620.88,1850.015236,0,0,26614.12,2045.565659,0,0,26769.6,2314.386869,0,0,26843.96,1705.205238,0,0
14310.6659,,26620.88,1825.376079,0,0,26614.12,2014.380747,0,0,26769.6,2284.234091,0,0,26843.96,1682.462352,0,0
14320.6733,,26620.88,1804.320975,0,0,26614.12,1989.084836,0,0,26769.6,2245.659091,0,0,26843.96,1664.603123,0,0
14330.6808,,26620.88,1782.448959,0,0,26614.12,1962.176276,0,0,26769.6,2218.783586,0,0,26843.96,1644.793503,0,0
14340.6882,,26620.88,1761.441849,0,0,26614.12,1937.777242,0,0,26769.6,2182.980303,0,0,26843.96,1626.900781,0,0
14350.6957,,26620.88,1740.857796,0,0,26614.12,1909.058166,0,0,26769.6,2157.700505,0,0,26843.96,1604.931,0,0
14360.7032,,26620.88,1720.698832,0,0,26614.12,1886.883668,0,0,26769.6,2125.627525,0,0,26843.96,1590.411231,0,0
14370.7106,,26620.88,1699.065515,0,0,26614.12,1857.21717,0,0,26769.6,2098.35202,0,0,26843.96,1568.441451,0,0
14380.7181,,26620.88,1676.022092,0,0,26614.12,1834.625095,0,0,26769.6,2063.289899,0,0,26843.96,1552.541425,0,0
14390.7255,,26620.88,1653.209243,0,0,26614.12,1805.945136,0,0,26769.6,2036.285354,0,0,26843.96,1531.541174,0,0
14400.733,,26620.88,1636.644744,0,0,26614.12,1786.416815,0,0,26769.6,2007.270455,0,0,26843.96,1516.119869,0,0
14410.7405,,26620.88,1615.406044,0,0,26614.12,1757.792228,0,0,26769.6,1978.571212,0,0,26843.96,1494.930748,0,0
14420.7479,,26620.88,1596.200609,0,0,26614.12,1738.85776,0,0,26769.6,1950.439899,0,0,26843.96,1479.940065,0,0
14430.7554,,26620.88,1574.318436,0,0,26614.12,1713.094742,0,0,26769.6,1924.139646,0,0,26843.96,1461.125913,0,0
14440.7628,,26620.88,1558.299137,0,0,26614.12,1691.516383,0,0,26769.6,1895.485859,0,0,26843.96,1445.223118,0,0
14450.7703,,26620.88,1535.16836,0,0,26614.12,1666.05334,0,0,26769.6,1871.409596,0,0,26843.96,1426.669856,0,0
14460.7778,,26620.88,1517.374302,0,0,26614.12,1646.230124,0,0,26769.6,1843.530556,0,0,26843.96,1410.151347,0,0
